epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,fold,filters,kernel_size,dropout,dense_units,learning_rate,batch_size,patience,epochs_max,epochs_usados,early_stopping_monitor
1,0.5226384401321411,0.16129520535469055,0.5558987259864807,0.3185195326805115,0.5226384401321411,0.16129520535469055,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
2,0.20873266458511353,0.07730269432067871,0.3394804894924164,0.21581001579761505,0.20873266458511353,0.07730269432067871,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
3,0.1417464166879654,0.06602980196475983,0.2755274176597595,0.1952344924211502,0.1417464166879654,0.06602980196475983,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
4,0.12344203889369965,0.060026202350854874,0.25783824920654297,0.18493962287902832,0.12344203889369965,0.060026202350854874,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
5,0.10233511030673981,0.0652671754360199,0.2337954342365265,0.19135290384292603,0.10233511030673981,0.0652671754360199,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
6,0.10364838689565659,0.053011205047369,0.23144131898880005,0.17425402998924255,0.10364838689565659,0.053011205047369,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
7,0.0924813374876976,0.053644344210624695,0.2206144481897354,0.17075209319591522,0.0924813374876976,0.053644344210624695,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
8,0.0874873548746109,0.04788006469607353,0.21719472110271454,0.1631486713886261,0.0874873548746109,0.04788006469607353,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
9,0.07676964998245239,0.03819790855050087,0.20386317372322083,0.14640475809574127,0.07676964998245239,0.03819790855050087,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
10,0.07067915797233582,0.041597895324230194,0.19482281804084778,0.15014979243278503,0.07067915797233582,0.041597895324230194,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
