epoch,loss_train,mae_train,mse_train,modelo,numInputs,filters,kernel_size,dropout,dense_units,learning_rate,batch_size,patience,epochs_max,epochs_usados,early_stopping_monitor
1,0.17076726257801056,0.29304978251457214,0.17076726257801056,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
2,0.08033564686775208,0.2057867795228958,0.08033564686775208,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
3,0.05944567918777466,0.17746612429618835,0.05944567918777466,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
4,0.053982093930244446,0.16700540482997894,0.053982093930244446,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
5,0.044770993292331696,0.15294519066810608,0.044770993292331696,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
6,0.04506249353289604,0.15153463184833527,0.04506249353289604,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
7,0.042345330119132996,0.14733220636844635,0.042345330119132996,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
8,0.03881355747580528,0.1416742205619812,0.03881355747580528,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
9,0.03627360984683037,0.13652995228767395,0.03627360984683037,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
10,0.037574488669633865,0.13875558972358704,0.037574488669633865,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
11,0.035528019070625305,0.1352842003107071,0.035528019070625305,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
12,0.03538490831851959,0.135248601436615,0.03538490831851959,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
13,0.03483118116855621,0.13281820714473724,0.03483118116855621,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
14,0.03468813747167587,0.13312867283821106,0.03468813747167587,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
15,0.03443663939833641,0.13232477009296417,0.03443663939833641,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
16,0.03317844495177269,0.12902428209781647,0.03317844495177269,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
17,0.0330827459692955,0.12925727665424347,0.0330827459692955,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
18,0.033357635140419006,0.1291481852531433,0.033357635140419006,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
19,0.0333113819360733,0.12989690899848938,0.0333113819360733,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
20,0.031126854941248894,0.12550818920135498,0.031126854941248894,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
21,0.03125781938433647,0.1253795176744461,0.03125781938433647,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
22,0.03131719306111336,0.1251242756843567,0.03131719306111336,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
23,0.031000712886452675,0.1252633035182953,0.031000712886452675,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
24,0.030945204198360443,0.12530411779880524,0.030945204198360443,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
25,0.031767234206199646,0.12758459150791168,0.031767234206199646,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
26,0.03069845773279667,0.12448088824748993,0.03069845773279667,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
27,0.03150629252195358,0.12668243050575256,0.03150629252195358,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
28,0.03140529617667198,0.1256837397813797,0.03140529617667198,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
29,0.030344082042574883,0.12414077669382095,0.030344082042574883,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
30,0.030914174392819405,0.12554092705249786,0.030914174392819405,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
31,0.03143240511417389,0.1263076215982437,0.03143240511417389,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
32,0.030432403087615967,0.12498103827238083,0.030432403087615967,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
33,0.030413104221224785,0.12416354566812515,0.030413104221224785,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
34,0.03056398779153824,0.12452948093414307,0.03056398779153824,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
35,0.029866674914956093,0.12270950525999069,0.029866674914956093,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
36,0.03312869369983673,0.13076765835285187,0.03312869369983673,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
37,0.0307657141238451,0.12605905532836914,0.0307657141238451,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
38,0.03033079020678997,0.1242302805185318,0.03033079020678997,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
39,0.029848942533135414,0.12367277592420578,0.029848942533135414,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
40,0.029679154977202415,0.12289328128099442,0.029679154977202415,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
41,0.031219610944390297,0.12584665417671204,0.031219610944390297,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
42,0.030123718082904816,0.12374746799468994,0.030123718082904816,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
43,0.02997511997818947,0.12251738458871841,0.02997511997818947,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
44,0.02998313121497631,0.12373444437980652,0.02998313121497631,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
45,0.029512571170926094,0.12287008762359619,0.029512571170926094,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
