Modelo_referencia,Modelo_comparado,loss,h,n,DM_stat,p_value,Diferencia_significativa_alpha_0_05,mean_loss_diff_referencia_minus_comparado,Mejor_modelo_por_perdida_promedio
DWT_CLSTM_DCCNN,RNN,absolute,1,10,-4.433,0.002,True,-11.85,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,XGBoost,absolute,1,10,-3.818,0.004,True,-5.743,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,MLP,absolute,1,10,-3.332,0.009,True,-5.377,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,LSTM,absolute,1,10,3.252,0.01,True,0.636,LSTM
DWT_CLSTM_DCCNN,Lasso,absolute,1,10,-3.1,0.013,True,-4.964,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,Ridge,absolute,1,10,-2.739,0.023,True,-4.319,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,XARIMA,absolute,1,10,-2.323,0.045,True,-2.893,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,CNN,absolute,1,10,-1.784,0.108,False,-1.443,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,KNN,absolute,1,10,1.751,0.114,False,0.754,KNN
DWT_CLSTM_DCCNN,RandomForest,absolute,1,10,-0.646,0.534,False,-0.281,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,SVR,absolute,1,10,-0.44,0.67,False,-0.16,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,DecisionTree,absolute,1,10,0.244,0.813,False,0.105,DecisionTree
