Modelo_referencia,Modelo_comparado,loss,h,n,DM_stat,p_value,Diferencia_significativa_alpha_0_05,mean_loss_diff_referencia_minus_comparado,Mejor_modelo_por_perdida_promedio
DWT_CLSTM_DCCNN,RNN,squared,1,10,-3.59,0.006,True,-239.204,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,XGBoost,squared,1,10,-3.235,0.01,True,-68.05,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,MLP,squared,1,10,-3.058,0.014,True,-66.258,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,Lasso,squared,1,10,-2.722,0.024,True,-60.207,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,Ridge,squared,1,10,-2.537,0.032,True,-51.339,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,LSTM,squared,1,10,2.498,0.034,True,2.042,LSTM
DWT_CLSTM_DCCNN,XARIMA,squared,1,10,-2.358,0.043,True,-28.3,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,CNN,squared,1,10,-2.016,0.075,False,-12.203,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,KNN,squared,1,10,1.468,0.176,False,2.226,KNN
DWT_CLSTM_DCCNN,RandomForest,squared,1,10,-0.4,0.698,False,-0.726,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,SVR,squared,1,10,-0.383,0.711,False,-0.564,DWT_CLSTM_DCCNN
DWT_CLSTM_DCCNN,DecisionTree,squared,1,10,0.22,0.831,False,0.378,DecisionTree
