Modelo_1,Modelo_2,loss,h,n,DM_stat,p_value,Diferencia_significativa_alpha_0_05,mean_loss_diff_Modelo1_minus_Modelo2,Mejor_modelo_por_perdida_promedio
KNN,RandomForest,absolute,1,10,-13.345,0.0,True,-1.035,KNN
Ridge,Lasso,absolute,1,10,-11.633,0.0,True,-0.645,Ridge
XGBoost,XARIMA,absolute,1,10,9.263,0.0,True,2.85,XARIMA
Ridge,RNN,absolute,1,10,-6.349,0.0,True,-7.531,Ridge
Lasso,RNN,absolute,1,10,-6.001,0.0,True,-6.886,Lasso
XARIMA,RNN,absolute,1,10,-5.926,0.0,True,-8.957,XARIMA
XARIMA,MLP,absolute,1,10,-5.848,0.0,True,-2.484,XARIMA
RNN,MLP,absolute,1,10,5.766,0.0,True,6.473,MLP
Lasso,XARIMA,absolute,1,10,5.452,0.0,True,2.071,XARIMA
Ridge,XGBoost,absolute,1,10,-5.389,0.0,True,-1.424,Ridge
Ridge,MLP,absolute,1,10,-5.239,0.001,True,-1.058,Ridge
DecisionTree,XGBoost,absolute,1,10,-5.129,0.001,True,-5.848,DecisionTree
DecisionTree,RNN,absolute,1,10,-5.089,0.001,True,-11.955,DecisionTree
SVR,RNN,absolute,1,10,-4.938,0.001,True,-11.69,SVR
XGBoost,RNN,absolute,1,10,-4.789,0.001,True,-6.107,XGBoost
SVR,XGBoost,absolute,1,10,-4.692,0.001,True,-5.583,SVR
KNN,RNN,absolute,1,10,-4.684,0.001,True,-12.604,KNN
RNN,LSTM,absolute,1,10,4.628,0.001,True,12.486,LSTM
KNN,XGBoost,absolute,1,10,-4.464,0.002,True,-6.497,KNN
RNN,DWT_CLSTM_DCCNN,absolute,1,10,4.433,0.002,True,11.85,DWT_CLSTM_DCCNN
RandomForest,RNN,absolute,1,10,-4.407,0.002,True,-11.569,RandomForest
DecisionTree,MLP,absolute,1,10,-4.309,0.002,True,-5.482,DecisionTree
XGBoost,LSTM,absolute,1,10,4.254,0.002,True,6.379,LSTM
Lasso,DecisionTree,absolute,1,10,4.072,0.003,True,5.069,DecisionTree
Ridge,XARIMA,absolute,1,10,4.071,0.003,True,1.426,XARIMA
SVR,MLP,absolute,1,10,-4.005,0.003,True,-5.218,SVR
RandomForest,XGBoost,absolute,1,10,-3.936,0.003,True,-5.462,RandomForest
XGBoost,DWT_CLSTM_DCCNN,absolute,1,10,3.818,0.004,True,5.743,DWT_CLSTM_DCCNN
KNN,MLP,absolute,1,10,-3.788,0.004,True,-6.131,KNN
SVR,Lasso,absolute,1,10,-3.736,0.005,True,-4.804,SVR
MLP,LSTM,absolute,1,10,3.705,0.005,True,6.013,LSTM
Ridge,DecisionTree,absolute,1,10,3.632,0.005,True,4.424,DecisionTree
Lasso,KNN,absolute,1,10,3.559,0.006,True,5.718,KNN
Lasso,LSTM,absolute,1,10,3.486,0.007,True,5.6,LSTM
DecisionTree,XARIMA,absolute,1,10,-3.401,0.008,True,-2.998,DecisionTree
MLP,DWT_CLSTM_DCCNN,absolute,1,10,3.332,0.009,True,5.377,DWT_CLSTM_DCCNN
SVR,Ridge,absolute,1,10,-3.297,0.009,True,-4.159,SVR
RandomForest,MLP,absolute,1,10,-3.282,0.01,True,-5.096,RandomForest
LSTM,DWT_CLSTM_DCCNN,absolute,1,10,-3.252,0.01,True,-0.636,LSTM
RNN,CNN,absolute,1,10,3.24,0.01,True,10.407,CNN
Ridge,KNN,absolute,1,10,3.205,0.011,True,5.073,KNN
Ridge,LSTM,absolute,1,10,3.138,0.012,True,4.955,LSTM
Lasso,DWT_CLSTM_DCCNN,absolute,1,10,3.1,0.013,True,4.964,DWT_CLSTM_DCCNN
Lasso,RandomForest,absolute,1,10,3.043,0.014,True,4.683,RandomForest
Lasso,XGBoost,absolute,1,10,-3.007,0.015,True,-0.779,Lasso
KNN,XARIMA,absolute,1,10,-2.956,0.016,True,-3.647,KNN
LSTM,CNN,absolute,1,10,-2.939,0.017,True,-2.079,LSTM
SVR,XARIMA,absolute,1,10,-2.928,0.017,True,-2.734,SVR
XARIMA,LSTM,absolute,1,10,2.841,0.019,True,3.529,LSTM
KNN,CNN,absolute,1,10,-2.761,0.022,True,-2.197,KNN
Ridge,DWT_CLSTM_DCCNN,absolute,1,10,2.739,0.023,True,4.319,DWT_CLSTM_DCCNN
Ridge,RandomForest,absolute,1,10,2.665,0.026,True,4.038,RandomForest
RandomForest,LSTM,absolute,1,10,2.347,0.044,True,0.917,LSTM
XARIMA,DWT_CLSTM_DCCNN,absolute,1,10,2.323,0.045,True,2.893,DWT_CLSTM_DCCNN
SVR,LSTM,absolute,1,10,2.304,0.047,True,0.795,LSTM
RandomForest,XARIMA,absolute,1,10,-2.24,0.052,False,-2.612,RandomForest
XGBoost,CNN,absolute,1,10,2.174,0.058,False,4.3,CNN
Lasso,MLP,absolute,1,10,-2.049,0.071,False,-0.413,Lasso
MLP,CNN,absolute,1,10,1.844,0.098,False,3.934,CNN
CNN,DWT_CLSTM_DCCNN,absolute,1,10,1.784,0.108,False,1.443,DWT_CLSTM_DCCNN
SVR,KNN,absolute,1,10,1.784,0.108,False,0.914,KNN
KNN,DWT_CLSTM_DCCNN,absolute,1,10,-1.751,0.114,False,-0.754,KNN
Lasso,CNN,absolute,1,10,1.694,0.125,False,3.521,CNN
DecisionTree,CNN,absolute,1,10,-1.635,0.136,False,-1.548,DecisionTree
SVR,DecisionTree,absolute,1,10,1.534,0.159,False,0.265,DecisionTree
RandomForest,CNN,absolute,1,10,-1.411,0.192,False,-1.161,RandomForest
Ridge,CNN,absolute,1,10,1.405,0.194,False,2.876,CNN
