Modelo_1,Modelo_2,loss,h,n,DM_stat,p_value,Diferencia_significativa_alpha_0_05,mean_loss_diff_Modelo1_minus_Modelo2,Mejor_modelo_por_perdida_promedio
KNN,RandomForest,squared,1,10,-7.613,0.0,True,-2.952,KNN
Ridge,XGBoost,squared,1,10,-5.49,0.0,True,-16.711,Ridge
Ridge,Lasso,squared,1,10,-4.39,0.002,True,-8.868,Ridge
XGBoost,XARIMA,squared,1,10,4.307,0.002,True,39.75,XARIMA
Ridge,MLP,squared,1,10,-4.103,0.003,True,-14.919,Ridge
Ridge,RNN,squared,1,10,-3.983,0.003,True,-187.865,Ridge
Lasso,RNN,squared,1,10,-3.963,0.003,True,-178.997,Lasso
RNN,MLP,squared,1,10,3.833,0.004,True,172.946,MLP
XARIMA,RNN,squared,1,10,-3.827,0.004,True,-210.904,XARIMA
XARIMA,MLP,squared,1,10,-3.761,0.004,True,-37.958,XARIMA
XGBoost,RNN,squared,1,10,-3.698,0.005,True,-171.154,XGBoost
DecisionTree,RNN,squared,1,10,-3.672,0.005,True,-239.581,DecisionTree
SVR,RNN,squared,1,10,-3.647,0.005,True,-238.639,SVR
KNN,RNN,squared,1,10,-3.63,0.005,True,-241.429,KNN
RNN,LSTM,squared,1,10,3.629,0.005,True,241.246,LSTM
RNN,DWT_CLSTM_DCCNN,squared,1,10,3.59,0.006,True,239.204,DWT_CLSTM_DCCNN
RandomForest,RNN,squared,1,10,-3.583,0.006,True,-238.478,RandomForest
DecisionTree,XGBoost,squared,1,10,-3.497,0.007,True,-68.427,DecisionTree
SVR,XGBoost,squared,1,10,-3.402,0.008,True,-67.485,SVR
KNN,XGBoost,squared,1,10,-3.392,0.008,True,-70.275,KNN
XGBoost,LSTM,squared,1,10,3.371,0.008,True,70.091,LSTM
DecisionTree,MLP,squared,1,10,-3.287,0.009,True,-66.635,DecisionTree
RandomForest,XGBoost,squared,1,10,-3.247,0.01,True,-67.324,RandomForest
XGBoost,DWT_CLSTM_DCCNN,squared,1,10,3.235,0.01,True,68.05,DWT_CLSTM_DCCNN
RNN,CNN,squared,1,10,3.23,0.01,True,227.001,CNN
SVR,MLP,squared,1,10,-3.207,0.011,True,-65.693,SVR
KNN,MLP,squared,1,10,-3.183,0.011,True,-68.483,KNN
MLP,LSTM,squared,1,10,3.179,0.011,True,68.3,LSTM
Lasso,XARIMA,squared,1,10,3.132,0.012,True,31.907,XARIMA
MLP,DWT_CLSTM_DCCNN,squared,1,10,3.058,0.014,True,66.258,DWT_CLSTM_DCCNN
RandomForest,MLP,squared,1,10,-3.038,0.014,True,-65.532,RandomForest
Lasso,DecisionTree,squared,1,10,2.927,0.017,True,60.584,DecisionTree
SVR,Lasso,squared,1,10,-2.846,0.019,True,-59.642,SVR
Lasso,KNN,squared,1,10,2.846,0.019,True,62.432,KNN
Lasso,LSTM,squared,1,10,2.842,0.019,True,62.249,LSTM
Ridge,XARIMA,squared,1,10,2.782,0.021,True,23.039,XARIMA
Ridge,DecisionTree,squared,1,10,2.748,0.023,True,51.716,DecisionTree
Lasso,DWT_CLSTM_DCCNN,squared,1,10,2.722,0.024,True,60.207,DWT_CLSTM_DCCNN
DecisionTree,XARIMA,squared,1,10,-2.713,0.024,True,-28.677,DecisionTree
Lasso,RandomForest,squared,1,10,2.705,0.024,True,59.481,RandomForest
Ridge,KNN,squared,1,10,2.67,0.026,True,53.564,KNN
Ridge,LSTM,squared,1,10,2.666,0.026,True,53.38,LSTM
SVR,Ridge,squared,1,10,-2.66,0.026,True,-50.774,SVR
Lasso,XGBoost,squared,1,10,-2.641,0.027,True,-7.843,Lasso
KNN,XARIMA,squared,1,10,-2.589,0.029,True,-30.525,KNN
XARIMA,LSTM,squared,1,10,2.579,0.03,True,30.342,LSTM
SVR,XARIMA,squared,1,10,-2.554,0.031,True,-27.735,SVR
Ridge,DWT_CLSTM_DCCNN,squared,1,10,2.537,0.032,True,51.339,DWT_CLSTM_DCCNN
Ridge,RandomForest,squared,1,10,2.516,0.033,True,50.613,RandomForest
LSTM,DWT_CLSTM_DCCNN,squared,1,10,-2.498,0.034,True,-2.042,LSTM
LSTM,CNN,squared,1,10,-2.396,0.04,True,-14.245,LSTM
XARIMA,DWT_CLSTM_DCCNN,squared,1,10,2.358,0.043,True,28.3,DWT_CLSTM_DCCNN
RandomForest,XARIMA,squared,1,10,-2.328,0.045,True,-27.574,RandomForest
XGBoost,CNN,squared,1,10,2.28,0.049,True,55.846,CNN
KNN,CNN,squared,1,10,-2.268,0.05,True,-14.429,KNN
SVR,LSTM,squared,1,10,2.21,0.054,False,2.606,LSTM
MLP,CNN,squared,1,10,2.138,0.061,False,54.055,CNN
Lasso,MLP,squared,1,10,-2.095,0.066,False,-6.051,Lasso
CNN,DWT_CLSTM_DCCNN,squared,1,10,2.016,0.075,False,12.203,DWT_CLSTM_DCCNN
RandomForest,LSTM,squared,1,10,2.014,0.075,False,2.768,LSTM
Lasso,CNN,squared,1,10,1.9,0.09,False,48.004,CNN
DecisionTree,CNN,squared,1,10,-1.853,0.097,False,-12.581,DecisionTree
SVR,KNN,squared,1,10,1.774,0.11,False,2.79,KNN
RandomForest,CNN,squared,1,10,-1.767,0.111,False,-11.477,RandomForest
SVR,CNN,squared,1,10,-1.691,0.125,False,-11.639,SVR
Ridge,CNN,squared,1,10,1.681,0.127,False,39.135,CNN
SVR,DecisionTree,squared,1,10,1.54,0.158,False,0.942,DecisionTree
KNN,DWT_CLSTM_DCCNN,squared,1,10,-1.468,0.176,False,-2.226,KNN
DecisionTree,LSTM,squared,1,10,1.273,0.235,False,1.664,LSTM
KNN,DecisionTree,squared,1,10,-1.175,0.27,False,-1.848,KNN
XARIMA,CNN,squared,1,10,1.047,0.322,False,16.097,CNN
RandomForest,DecisionTree,squared,1,10,0.597,0.565,False,1.104,DecisionTree
XGBoost,MLP,squared,1,10,0.528,0.61,False,1.792,MLP
RandomForest,DWT_CLSTM_DCCNN,squared,1,10,0.4,0.698,False,0.726,DWT_CLSTM_DCCNN
SVR,DWT_CLSTM_DCCNN,squared,1,10,0.383,0.711,False,0.564,DWT_CLSTM_DCCNN
DecisionTree,DWT_CLSTM_DCCNN,squared,1,10,-0.22,0.831,False,-0.378,DecisionTree
KNN,LSTM,squared,1,10,-0.18,0.861,False,-0.184,KNN
SVR,RandomForest,squared,1,10,-0.086,0.934,False,-0.162,SVR
