,SVR,Ridge,Lasso,KNN,RandomForest,DecisionTree,XGBoost,XARIMA,RNN,MLP,LSTM,CNN,DWT_CLSTM_DCCNN
SVR,0.0,0.009,0.005,0.108,0.805,0.159,0.001,0.017,0.001,0.003,0.047,0.22,0.67
Ridge,0.009,0.0,0.0,0.011,0.026,0.005,0.0,0.003,0.0,0.001,0.012,0.194,0.023
Lasso,0.005,0.0,0.0,0.006,0.014,0.003,0.015,0.0,0.0,0.071,0.007,0.125,0.013
KNN,0.108,0.011,0.006,0.0,0.0,0.214,0.002,0.016,0.001,0.004,0.764,0.022,0.114
RandomForest,0.805,0.026,0.014,0.0,0.0,0.406,0.003,0.052,0.002,0.01,0.044,0.192,0.534
DecisionTree,0.159,0.005,0.003,0.214,0.406,0.0,0.001,0.008,0.001,0.002,0.198,0.136,0.813
XGBoost,0.001,0.0,0.015,0.002,0.003,0.001,0.0,0.0,0.001,0.261,0.002,0.058,0.004
XARIMA,0.017,0.003,0.0,0.016,0.052,0.008,0.0,0.0,0.0,0.0,0.019,0.421,0.045
RNN,0.001,0.0,0.0,0.001,0.002,0.001,0.001,0.0,0.0,0.0,0.001,0.01,0.002
MLP,0.003,0.001,0.071,0.004,0.01,0.002,0.261,0.0,0.0,0.0,0.005,0.098,0.009
LSTM,0.047,0.012,0.007,0.764,0.044,0.198,0.002,0.019,0.001,0.005,0.0,0.017,0.01
CNN,0.22,0.194,0.125,0.022,0.192,0.136,0.058,0.421,0.01,0.098,0.017,0.0,0.108
DWT_CLSTM_DCCNN,0.67,0.023,0.013,0.114,0.534,0.813,0.004,0.045,0.002,0.009,0.01,0.108,0.0
