,SVR,Ridge,Lasso,KNN,RandomForest,DecisionTree,XGBoost,XARIMA,RNN,MLP,LSTM,CNN,DWT_CLSTM_DCCNN
SVR,0.0,0.026,0.019,0.11,0.934,0.158,0.008,0.031,0.005,0.011,0.054,0.125,0.711
Ridge,0.026,0.0,0.002,0.026,0.033,0.023,0.0,0.021,0.003,0.003,0.026,0.127,0.032
Lasso,0.019,0.002,0.0,0.019,0.024,0.017,0.027,0.012,0.003,0.066,0.019,0.09,0.024
KNN,0.11,0.026,0.019,0.0,0.0,0.27,0.008,0.029,0.005,0.011,0.861,0.05,0.176
RandomForest,0.934,0.033,0.024,0.0,0.0,0.565,0.01,0.045,0.006,0.014,0.075,0.111,0.698
DecisionTree,0.158,0.023,0.017,0.27,0.565,0.0,0.007,0.024,0.005,0.009,0.235,0.097,0.831
XGBoost,0.008,0.0,0.027,0.008,0.01,0.007,0.0,0.002,0.005,0.61,0.008,0.049,0.01
XARIMA,0.031,0.021,0.012,0.029,0.045,0.024,0.002,0.0,0.004,0.004,0.03,0.322,0.043
RNN,0.005,0.003,0.003,0.005,0.006,0.005,0.005,0.004,0.0,0.004,0.005,0.01,0.006
MLP,0.011,0.003,0.066,0.011,0.014,0.009,0.61,0.004,0.004,0.0,0.011,0.061,0.014
LSTM,0.054,0.026,0.019,0.861,0.075,0.235,0.008,0.03,0.005,0.011,0.0,0.04,0.034
CNN,0.125,0.127,0.09,0.05,0.111,0.097,0.049,0.322,0.01,0.061,0.04,0.0,0.075
DWT_CLSTM_DCCNN,0.711,0.032,0.024,0.176,0.698,0.831,0.01,0.043,0.006,0.014,0.034,0.075,0.0
