epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,fold,epochs_usados,early_stopping_monitor,wavelet,dwt_level,low_filters,low_lstm_units,low_dropout,high_filters_1,high_filters_2,high_dilation_rates,high_dropout,dense_units,learning_rate,epochs_max,batch_size,patience
1,0.46633023023605347,0.12236089259386063,0.5408903360366821,0.2684261202812195,0.46633023023605347,0.12236089259386063,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
2,0.15260745584964752,0.09252346307039261,0.306979775428772,0.2280707210302353,0.15260745584964752,0.09252346307039261,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
3,0.10773152858018875,0.16388098895549774,0.2558790147304535,0.32100674510002136,0.10773152858018875,0.16388098895549774,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
4,0.1100841611623764,0.19392594695091248,0.2539133131504059,0.337845116853714,0.1100841611623764,0.19392594695091248,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
5,0.15129733085632324,0.10484480857849121,0.29284676909446716,0.24879801273345947,0.15129733085632324,0.10484480857849121,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
6,0.10920792818069458,0.06747950613498688,0.25024282932281494,0.20016182959079742,0.10920792818069458,0.06747950613498688,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
7,0.07025899738073349,0.045315392315387726,0.19983059167861938,0.15406306087970734,0.07025899738073349,0.045315392315387726,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
8,0.05284242331981659,0.04164369776844978,0.17518694698810577,0.14477203786373138,0.05284242331981659,0.04164369776844978,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
9,0.040913134813308716,0.050292886793613434,0.15599487721920013,0.1525869220495224,0.040913134813308716,0.050292886793613434,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
10,0.04213237017393112,0.0346294529736042,0.15677332878112793,0.12966029345989227,0.04213237017393112,0.0346294529736042,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
11,0.03974250331521034,0.03365737944841385,0.15037226676940918,0.12906144559383392,0.03974250331521034,0.03365737944841385,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
12,0.031228283420205116,0.03466754034161568,0.132777601480484,0.13704121112823486,0.031228283420205116,0.03466754034161568,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
13,0.03046412020921707,0.038270313292741776,0.1301301121711731,0.14955124258995056,0.03046412020921707,0.038270313292741776,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
14,0.029646793380379677,0.03777145966887474,0.13070125877857208,0.14971275627613068,0.029646793380379677,0.03777145966887474,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
15,0.02933543734252453,0.04246066138148308,0.12952499091625214,0.15264619886875153,0.02933543734252453,0.04246066138148308,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
16,0.033939216285943985,0.043359484523534775,0.13909406960010529,0.15134868025779724,0.033939216285943985,0.043359484523534775,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
17,0.027951547876000404,0.04180321469902992,0.1253659427165985,0.13755272328853607,0.027951547876000404,0.04180321469902992,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
18,0.026890916749835014,0.03318210318684578,0.1250607967376709,0.13295799493789673,0.026890916749835014,0.03318210318684578,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
19,0.030077962204813957,0.059124745428562164,0.13219685852527618,0.17096677422523499,0.030077962204813957,0.059124745428562164,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
