epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,epochs_usados,early_stopping_monitor,wavelet,dwt_level,low_filters,low_lstm_units,low_dropout,high_filters_1,high_filters_2,high_dilation_rates,high_dropout,dense_units,learning_rate,epochs_max,batch_size,patience
1,0.20455770194530487,,0.2906120717525482,,0.20455770194530487,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
2,0.07795838266611099,,0.20624886453151703,,0.07795838266611099,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
3,0.056260138750076294,,0.17534711956977844,,0.056260138750076294,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
4,0.0489124059677124,,0.1633366346359253,,0.0489124059677124,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
5,0.054671887308359146,,0.16917258501052856,,0.054671887308359146,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
6,0.04357843101024628,,0.15611770749092102,,0.04357843101024628,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
7,0.04028893634676933,,0.14848116040229797,,0.04028893634676933,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
8,0.04517432302236557,,0.15166938304901123,,0.04517432302236557,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
9,0.03593294322490692,,0.1404419243335724,,0.03593294322490692,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
10,0.037801265716552734,,0.14213266968727112,,0.037801265716552734,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
11,0.03415841981768608,,0.13542190194129944,,0.03415841981768608,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
12,0.03357341140508652,,0.13359594345092773,,0.03357341140508652,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
13,0.03387382626533508,,0.1327914297580719,,0.03387382626533508,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
14,0.036218974739313126,,0.1373632401227951,,0.036218974739313126,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
