numInputs,ventana,numOutputs,numJumps,n_neighbors,weights,p,metric,MAE_val_h10_mean,MAE_val_h10_std,MSE_val_h10_mean,MSE_val_h10_std,BDS_pvalue_mean,BDS_pvalue_min,BDS_folds_pass,BDS_all_folds_pass,BDS_any_fold_pass
30,30 días,10,1,3,uniform,1,minkowski,31.99072839641653,0.9541427913277605,1963.5687473751805,58.91351846934015,3.1482217985103503e-15,6.161557826460165e-16,0,False,False
30,30 días,10,1,3,distance,1,minkowski,32.038153365762945,0.9841049694299341,1966.2005080303577,61.255565365013375,3.0631502697074904e-15,5.398554700500923e-16,0,False,False
30,30 días,10,1,3,uniform,2,minkowski,30.066660340381382,0.992371230255366,1727.9514814123363,70.54883739724404,3.974688666733986e-09,7.581343519501131e-16,0,False,False
30,30 días,10,1,3,distance,2,minkowski,30.06889559811878,0.976028555531195,1728.5289256225483,70.21324502784066,4.1137590564886675e-09,7.943136423036118e-16,0,False,False
30,30 días,10,1,5,uniform,1,minkowski,29.956097428962174,1.182121900551482,1705.292396864324,73.90767239185438,1.5274194756500575e-15,2.9762016410034167e-16,0,False,False
30,30 días,10,1,5,distance,1,minkowski,30.059653157256896,1.236813302500234,1720.9323235659963,77.09478461416573,1.5746979585917637e-15,2.9677411124530237e-16,0,False,False
30,30 días,10,1,5,uniform,2,minkowski,28.216680693103704,1.2841711520454127,1514.393750254137,71.97500209165956,4.3732237878721974e-15,1.5156409668626603e-15,0,False,False
30,30 días,10,1,5,distance,2,minkowski,28.294617874957147,1.3107441971224123,1525.0584334353407,73.73616610913525,4.371285404383033e-15,1.5584696251427195e-15,0,False,False
30,30 días,10,1,7,uniform,1,minkowski,29.308977260788453,1.2974808517601188,1613.7671798385707,90.27978491050469,1.1479376767855982e-15,5.723687597408459e-16,0,False,False
30,30 días,10,1,7,distance,1,minkowski,29.241174622709224,1.2973062689322412,1612.0488045466493,88.86743797846373,1.290705351846076e-15,5.555986877585195e-16,0,False,False
30,30 días,10,1,7,uniform,2,minkowski,27.55436092498629,1.1686916496496205,1426.9633763186891,90.12077195668063,3.635423464815989e-15,1.710609105527141e-15,0,False,False
30,30 días,10,1,7,distance,2,minkowski,27.45692389394648,1.2187468817572087,1423.9718600526935,88.94094878717327,3.892995231199536e-15,2.349291844310307e-15,0,False,False
30,30 días,10,1,10,uniform,1,minkowski,28.829021174742287,1.2921508976529374,1569.9030291557053,93.6926533942188,5.677584408321616e-16,3.8601591863069865e-16,0,False,False
30,30 días,10,1,10,distance,1,minkowski,28.59995200255471,1.2817869207287484,1550.5674428145496,91.31819043074887,7.001620103296703e-16,4.878121568412372e-16,0,False,False
30,30 días,10,1,10,uniform,2,minkowski,27.282593803803746,1.23969428791822,1385.8209276693426,95.37083073335253,1.911623608869353e-15,1.0245379334174443e-15,0,False,False
30,30 días,10,1,10,distance,2,minkowski,27.026344117463616,1.2799676850586708,1366.026428339975,98.59022711668608,2.619909204400357e-15,1.549555687530158e-15,0,False,False
60,60 días,10,1,3,uniform,1,minkowski,46.7683763349217,1.245806806428577,3933.7859727130112,303.17392873986745,0.0,0.0,0,False,False
60,60 días,10,1,3,distance,1,minkowski,46.73699538957248,1.1909064148344024,3926.634506669263,296.835357412361,0.0,0.0,0,False,False
60,60 días,10,1,3,uniform,2,minkowski,45.65924411438479,0.5630610950901243,3578.520279712332,103.10802138565344,0.0,0.0,0,False,False
60,60 días,10,1,3,distance,2,minkowski,45.67800489745446,0.559674916368997,3580.5703908978758,103.492971362621,0.0,0.0,0,False,False
60,60 días,10,1,5,uniform,1,minkowski,44.36739827036779,0.2778848996167506,3419.751741716466,132.66667138234186,0.0,0.0,0,False,False
60,60 días,10,1,5,distance,1,minkowski,44.41037095549085,0.3455820490514543,3438.378995317292,146.5961756156939,0.0,0.0,0,False,False
60,60 días,10,1,5,uniform,2,minkowski,42.783509119897985,0.2564719230831987,3062.4833763000584,111.79067571219787,0.0,0.0,0,False,False
60,60 días,10,1,5,distance,2,minkowski,42.939781458953135,0.1799918947857999,3090.1058454167674,107.33437096826707,0.0,0.0,0,False,False
60,60 días,10,1,7,uniform,1,minkowski,43.57822650836242,0.37421701645995653,3276.0336380524946,103.75799678488389,0.0,0.0,0,False,False
60,60 días,10,1,7,distance,1,minkowski,43.21653299613333,0.2943601920080076,3211.9996323807127,106.98231178278029,0.0,0.0,0,False,False
60,60 días,10,1,7,uniform,2,minkowski,41.145458119877276,0.9072007450841337,2893.1596761494475,72.42675909569817,0.0,0.0,0,False,False
60,60 días,10,1,7,distance,2,minkowski,41.04365858311009,0.8767351512375352,2855.8885223560073,62.51329832355997,0.0,0.0,0,False,False
60,60 días,10,1,10,uniform,1,minkowski,44.19068345568725,0.8199311827609828,3342.5388638978184,148.38717744620033,0.0,0.0,0,False,False
60,60 días,10,1,10,distance,1,minkowski,43.12068550875782,0.5722019474196505,3207.6932805857605,113.01254554582793,0.0,0.0,0,False,False
60,60 días,10,1,10,uniform,2,minkowski,41.31669580829127,1.0699546858414815,2889.081802035906,135.32595032711004,0.0,0.0,0,False,False
60,60 días,10,1,10,distance,2,minkowski,40.433725150581694,0.9227561675681472,2797.2292207746746,114.2114451858607,0.0,0.0,0,False,False
