epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,fold,units,dropout,learning_rate,batch_size,patience,epochs_max,epochs_usados,early_stopping_monitor
1,0.6843301653862,0.3501743674278259,0.6526041626930237,0.45798221230506897,0.6843301653862,0.3501743674278259,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
2,0.28654778003692627,0.14423677325248718,0.4142245054244995,0.28792670369148254,0.28654778003692627,0.14423677325248718,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
3,0.1347665786743164,0.07708988338708878,0.2779812216758728,0.21383768320083618,0.1347665786743164,0.07708988338708878,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
4,0.08901893347501755,0.05996357277035713,0.2261781245470047,0.18643756210803986,0.08901893347501755,0.05996357277035713,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
5,0.07135890424251556,0.05402292311191559,0.20086218416690826,0.17255191504955292,0.07135890424251556,0.05402292311191559,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
6,0.06244456395506859,0.05259668827056885,0.18826206028461456,0.16853414475917816,0.06244456395506859,0.05259668827056885,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
7,0.059803225100040436,0.053690582513809204,0.18545961380004883,0.1702018529176712,0.059803225100040436,0.053690582513809204,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
8,0.05467439442873001,0.05073948949575424,0.1770264208316803,0.16315805912017822,0.05467439442873001,0.05073948949575424,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
9,0.05274030193686485,0.049314748495817184,0.17326635122299194,0.1603395938873291,0.05274030193686485,0.049314748495817184,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
10,0.05251409113407135,0.04904262349009514,0.17219135165214539,0.1584187150001526,0.05251409113407135,0.04904262349009514,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
11,0.05260465294122696,0.04848692938685417,0.17160174250602722,0.1575886309146881,0.05260465294122696,0.04848692938685417,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
12,0.050601787865161896,0.04540802165865898,0.16888019442558289,0.1528996080160141,0.050601787865161896,0.04540802165865898,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
13,0.049214158207178116,0.04609604552388191,0.16528423130512238,0.15283332765102386,0.049214158207178116,0.04609604552388191,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
14,0.047498270869255066,0.04442119598388672,0.1641940325498581,0.15053613483905792,0.047498270869255066,0.04442119598388672,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
15,0.04653332382440567,0.04379718005657196,0.1614769995212555,0.14880400896072388,0.04653332382440567,0.04379718005657196,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
16,0.04468810558319092,0.04222052916884422,0.1576623171567917,0.1475420445203781,0.04468810558319092,0.04222052916884422,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
17,0.044363267719745636,0.040461067110300064,0.15757238864898682,0.1422732025384903,0.044363267719745636,0.040461067110300064,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
18,0.04353499785065651,0.04021534323692322,0.15465684235095978,0.1417221575975418,0.04353499785065651,0.04021534323692322,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
