epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,units,dropout,learning_rate,batch_size,patience,epochs_max,epochs_usados,early_stopping_monitor
1,0.1893496811389923,,0.2933150827884674,,0.1893496811389923,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
2,0.05279067903757095,,0.16961035132408142,,0.05279067903757095,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
3,0.04413937032222748,,0.15365009009838104,,0.04413937032222748,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
4,0.03912535682320595,,0.14294911921024323,,0.03912535682320595,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
5,0.03601759299635887,,0.136674702167511,,0.03601759299635887,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
6,0.03397970274090767,,0.13194918632507324,,0.03397970274090767,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
7,0.03236355632543564,,0.12771499156951904,,0.03236355632543564,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
8,0.03062104806303978,,0.12349028885364532,,0.03062104806303978,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
9,0.029726656153798103,,0.12109772861003876,,0.029726656153798103,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
10,0.02858370542526245,,0.11839322000741959,,0.02858370542526245,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
11,0.028018683195114136,,0.11689286679029465,,0.028018683195114136,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
12,0.027551621198654175,,0.11512959748506546,,0.027551621198654175,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
13,0.02686147391796112,,0.11337272822856903,,0.02686147391796112,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
14,0.026639441028237343,,0.11276106536388397,,0.026639441028237343,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
15,0.02603244036436081,,0.11100482195615768,,0.02603244036436081,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
16,0.026042869314551353,,0.11075843870639801,,0.026042869314551353,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
17,0.025367949157953262,,0.10933556407690048,,0.025367949157953262,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
18,0.025410300120711327,,0.10882338136434555,,0.025410300120711327,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
19,0.025097740814089775,,0.10807773470878601,,0.025097740814089775,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
20,0.025487754493951797,,0.10893400013446808,,0.025487754493951797,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
21,0.024562984704971313,,0.10650397837162018,,0.024562984704971313,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
22,0.02464968152344227,,0.10670486837625504,,0.02464968152344227,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
23,0.024595264345407486,,0.10633166134357452,,0.024595264345407486,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
24,0.024609563872218132,,0.10647991299629211,,0.024609563872218132,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
25,0.024411523714661598,,0.10624042898416519,,0.024411523714661598,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
26,0.02424643747508526,,0.10526544600725174,,0.02424643747508526,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
27,0.024256352335214615,,0.1055477187037468,,0.024256352335214615,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
28,0.02426665462553501,,0.10504674911499023,,0.02426665462553501,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
29,0.02391073852777481,,0.10475039482116699,,0.02391073852777481,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
30,0.023936143144965172,,0.10465746372938156,,0.023936143144965172,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
31,0.02380247227847576,,0.10437141358852386,,0.02380247227847576,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
32,0.023834777995944023,,0.1046518012881279,,0.023834777995944023,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
33,0.02370479702949524,,0.10379483550786972,,0.02370479702949524,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
34,0.023603348061442375,,0.1034446582198143,,0.023603348061442375,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
35,0.023267952725291252,,0.1028355211019516,,0.023267952725291252,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
36,0.02317923679947853,,0.10265462845563889,,0.02317923679947853,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
37,0.023543307557702065,,0.10355419665575027,,0.023543307557702065,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
38,0.023214584216475487,,0.10284335166215897,,0.023214584216475487,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
39,0.02318139374256134,,0.1029612272977829,,0.02318139374256134,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
40,0.023487886413931847,,0.10309780389070511,,0.023487886413931847,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
41,0.02335887961089611,,0.10274851322174072,,0.02335887961089611,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
42,0.023236995562911034,,0.10287809371948242,,0.023236995562911034,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
43,0.02328615076839924,,0.10292163491249084,,0.02328615076839924,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
44,0.023066410794854164,,0.10230289399623871,,0.023066410794854164,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
45,0.0228995680809021,,0.10201450437307358,,0.0228995680809021,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
46,0.023106681182980537,,0.10251522064208984,,0.023106681182980537,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
47,0.023164264857769012,,0.10289113968610764,,0.023164264857769012,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
48,0.02311517670750618,,0.10289409011602402,,0.02311517670750618,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
49,0.022728051990270615,,0.10129047185182571,,0.022728051990270615,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
50,0.022799449041485786,,0.10155703127384186,,0.022799449041485786,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
51,0.022808359935879707,,0.10170074552297592,,0.022808359935879707,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
52,0.02276340313255787,,0.10174635052680969,,0.02276340313255787,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
53,0.022485477849841118,,0.10141271352767944,,0.022485477849841118,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
54,0.02253696136176586,,0.10113250464200974,,0.02253696136176586,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
55,0.022474484518170357,,0.10132626444101334,,0.022474484518170357,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
56,0.022597184404730797,,0.10145185887813568,,0.022597184404730797,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
57,0.022463683038949966,,0.10145816206932068,,0.022463683038949966,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
58,0.022552477195858955,,0.10134509950876236,,0.022552477195858955,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
59,0.022150525823235512,,0.1004285216331482,,0.022150525823235512,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
60,0.022463463246822357,,0.10116159170866013,,0.022463463246822357,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
61,0.02251826971769333,,0.10116782784461975,,0.02251826971769333,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
62,0.02216928079724312,,0.10091394186019897,,0.02216928079724312,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
63,0.0223248191177845,,0.10079121589660645,,0.0223248191177845,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
64,0.022359611466526985,,0.10076740384101868,,0.022359611466526985,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
65,0.022280562669038773,,0.10078991949558258,,0.022280562669038773,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
66,0.022488979622721672,,0.10118936002254486,,0.022488979622721672,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
67,0.022462746128439903,,0.10111527889966965,,0.022462746128439903,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
68,0.022195447236299515,,0.10085062682628632,,0.022195447236299515,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
69,0.022291917353868484,,0.10093768686056137,,0.022291917353868484,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
70,0.022178925573825836,,0.10034576803445816,,0.022178925573825836,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
71,0.022123413160443306,,0.10023798048496246,,0.022123413160443306,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
72,0.02229570411145687,,0.10061059892177582,,0.02229570411145687,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
73,0.02207709476351738,,0.10026313364505768,,0.02207709476351738,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
74,0.022538257762789726,,0.10143779963254929,,0.022538257762789726,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
75,0.022176183760166168,,0.10030288249254227,,0.022176183760166168,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
