epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,tipo_entrenamiento,numInputs,fold,hidden_layers,dropout,learning_rate,patience,epochs_max,early_stopping_monitor,y_mean,y_std,epochs_usados
1,0.22257669270038605,,0.32154375314712524,,0.22257669270038605,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
2,0.0829472616314888,,0.2114015519618988,,0.0829472616314888,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
3,0.06698409467935562,,0.1902877539396286,,0.06698409467935562,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
4,0.06456749141216278,,0.18606488406658173,,0.06456749141216278,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
5,0.0609375424683094,,0.18102578818798065,,0.0609375424683094,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
6,0.05368264019489288,,0.168228417634964,,0.05368264019489288,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
7,0.05291079357266426,,0.1680230051279068,,0.05291079357266426,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
8,0.05447620525956154,,0.17048031091690063,,0.05447620525956154,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
9,0.04709374159574509,,0.15865765511989594,,0.04709374159574509,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
10,0.045779891312122345,,0.15721385180950165,,0.045779891312122345,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
11,0.050946228206157684,,0.16462942957878113,,0.050946228206157684,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
12,0.046090565621852875,,0.15740180015563965,,0.046090565621852875,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
13,0.04665985330939293,,0.15738552808761597,,0.04665985330939293,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
14,0.04283552244305611,,0.15067791938781738,,0.04283552244305611,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
15,0.04410490766167641,,0.15380853414535522,,0.04410490766167641,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
16,0.04263990372419357,,0.15086492896080017,,0.04263990372419357,,modelo_final,30,final,"(64, 32)",0.1,0.001,15,100,loss,547.247730129249,168.66028702234178,79
