epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,gap_abs_val_train_loss,fold,modelo,numInputs,units,dropout,learning_rate,batch_size,scaler,patience,epochs_max,early_stopping_monitor,best_epoch_val_loss_fold,best_val_loss_fold,epochs_usados_fold
1,0.04837551340460777,0.010003951378166676,0.14728417992591858,0.07774226367473602,0.04837551340460777,0.010003951378166676,0.0383715620264411,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
2,0.013888952322304249,0.00743053900077939,0.08853191882371902,0.06652244925498962,0.013888952322304249,0.00743053900077939,0.0064584133215248585,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
3,0.011459015309810638,0.006226920522749424,0.08027481287717819,0.05902108550071716,0.011459015309810638,0.006226920522749424,0.0052320947870612144,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
4,0.009736626408994198,0.006019855383783579,0.073615662753582,0.058642372488975525,0.009736626408994198,0.006019855383783579,0.003716771025210619,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
5,0.008995654992759228,0.005262242164462805,0.07069512456655502,0.052462298423051834,0.008995654992759228,0.005262242164462805,0.003733412828296423,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
6,0.008473922498524189,0.005079249385744333,0.06800546497106552,0.05139921233057976,0.008473922498524189,0.005079249385744333,0.0033946731127798557,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
7,0.00804473552852869,0.00488990917801857,0.06602000445127487,0.05004379153251648,0.00804473552852869,0.00488990917801857,0.0031548263505101204,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
8,0.007470067590475082,0.004765935707837343,0.06416424363851547,0.04949948191642761,0.007470067590475082,0.004765935707837343,0.002704131882637739,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
9,0.007272951304912567,0.0048780604265630245,0.0626756027340889,0.05075826868414879,0.007272951304912567,0.0048780604265630245,0.0023948908783495426,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
10,0.007036762312054634,0.004514576867222786,0.0616905651986599,0.0475379079580307,0.007036762312054634,0.004514576867222786,0.002522185444831848,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
11,0.0067428904585540295,0.004397520795464516,0.060450226068496704,0.04666529595851898,0.0067428904585540295,0.004397520795464516,0.0023453696630895138,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
12,0.0065558599308133125,0.004352012649178505,0.05929586663842201,0.046372801065444946,0.0065558599308133125,0.004352012649178505,0.0022038472816348076,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
13,0.006278325337916613,0.00425649294629693,0.057921260595321655,0.04539884254336357,0.006278325337916613,0.00425649294629693,0.0020218323916196823,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
14,0.006355591118335724,0.004203801974654198,0.058384429663419724,0.04532337188720703,0.006355591118335724,0.004203801974654198,0.002151789143681526,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
15,0.006320573389530182,0.004122037906199694,0.05817278474569321,0.04385339096188545,0.006320573389530182,0.004122037906199694,0.002198535483330488,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
16,0.006110474932938814,0.004055718891322613,0.05692484974861145,0.04371453449130058,0.006110474932938814,0.004055718891322613,0.0020547560416162014,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
17,0.005920469760894775,0.004048661328852177,0.05600740760564804,0.04363488778471947,0.005920469760894775,0.004048661328852177,0.0018718084320425987,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
18,0.005781539250165224,0.0040406733751297,0.05531959980726242,0.04430445656180382,0.005781539250165224,0.0040406733751297,0.0017408658750355244,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
19,0.005797515623271465,0.003980003297328949,0.05544871464371681,0.043432895094156265,0.005797515623271465,0.003980003297328949,0.0018175123259425163,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
