epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,gap_abs_val_train_loss,modelo,numInputs,units,dropout,learning_rate,batch_size,scaler,patience_cv,epochs_max_cv,epochs_final,early_stopping_monitor_cv
1,0.01740502193570137,,0.09143026173114777,,0.01740502193570137,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
2,0.006902490742504597,,0.06070876121520996,,0.006902490742504597,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
3,0.005953323561698198,,0.05556616187095642,,0.005953323561698198,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
4,0.005411794409155846,,0.05237610638141632,,0.005411794409155846,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
5,0.005048245657235384,,0.05012519657611847,,0.005048245657235384,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
6,0.004884605761617422,,0.04907043278217316,,0.004884605761617422,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
7,0.004719445016235113,,0.048167455941438675,,0.004719445016235113,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
8,0.0046998122707009315,,0.047702644020318985,,0.0046998122707009315,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
9,0.004630400333553553,,0.04749627411365509,,0.004630400333553553,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
10,0.004602836444973946,,0.04709113761782646,,0.004602836444973946,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
11,0.004564283415675163,,0.046764422208070755,,0.004564283415675163,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
12,0.00450236676260829,,0.04623008146882057,,0.00450236676260829,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
13,0.004610065836459398,,0.04684169217944145,,0.004610065836459398,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
14,0.004578277934342623,,0.04668114706873894,,0.004578277934342623,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
15,0.004481171257793903,,0.045928794890642166,,0.004481171257793903,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
16,0.004381759557873011,,0.04510582983493805,,0.004381759557873011,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
17,0.004331329837441444,,0.04491054266691208,,0.004331329837441444,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
18,0.004381740465760231,,0.04510960727930069,,0.004381740465760231,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
19,0.0045022922568023205,,0.045894257724285126,,0.0045022922568023205,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
20,0.004407170694321394,,0.045497581362724304,,0.004407170694321394,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
21,0.004469731356948614,,0.04564005881547928,,0.004469731356948614,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
22,0.0044486564584076405,,0.045227281749248505,,0.0044486564584076405,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
23,0.004462566692382097,,0.045579902827739716,,0.004462566692382097,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
24,0.004257691092789173,,0.04427393153309822,,0.004257691092789173,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
25,0.004300310742110014,,0.044613130390644073,,0.004300310742110014,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
26,0.004201256204396486,,0.04367920756340027,,0.004201256204396486,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
27,0.00444451067596674,,0.04509647190570831,,0.00444451067596674,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
28,0.0043311151675879955,,0.044706523418426514,,0.0043311151675879955,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
29,0.004142544232308865,,0.04344290867447853,,0.004142544232308865,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
30,0.004163858015090227,,0.043569229543209076,,0.004163858015090227,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
31,0.004201475530862808,,0.04380466789007187,,0.004201475530862808,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
32,0.004287465941160917,,0.04433068633079529,,0.004287465941160917,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
33,0.004219791851937771,,0.0437743216753006,,0.004219791851937771,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
34,0.004299584310501814,,0.04432297497987747,,0.004299584310501814,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
35,0.0041016386821866035,,0.043088607490062714,,0.0041016386821866035,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
36,0.004103302024304867,,0.04289388284087181,,0.004103302024304867,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
37,0.0041372342966496944,,0.04325372353196144,,0.0041372342966496944,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
38,0.004181418567895889,,0.04361112415790558,,0.004181418567895889,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
39,0.004164568148553371,,0.04344695433974266,,0.004164568148553371,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
40,0.004075135104358196,,0.04271524026989937,,0.004075135104358196,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
41,0.0040379236452281475,,0.04240243509411812,,0.0040379236452281475,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
42,0.004021843895316124,,0.04238254576921463,,0.004021843895316124,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
43,0.004261191934347153,,0.04403362795710564,,0.004261191934347153,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
44,0.0042388648726046085,,0.043841224163770676,,0.0042388648726046085,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
