,SVR,Ridge,Lasso,KNN,RandomForest,DecisionTree,XGBoost,XARIMA,RNN,MLP,LSTM,CNN
SVR,0.0,1.4832579608992091e-13,1.4277468096679513e-13,0.005376994997985385,0.18164842415649218,3.0121744352129554e-06,0.0003392832308524163,0.0,0.0,0.0,0.0,0.0
Ridge,1.4832579608992091e-13,0.0,0.03034691604132167,0.0004891442455450257,1.1142096534300094e-06,0.35328681767819203,0.0020556766145531924,0.0,0.0,0.0,0.0,1.7063300705721929e-06
Lasso,1.4277468096679513e-13,0.03034691604132167,0.0,0.00048413590003359985,1.0984370926170328e-06,0.3521223821598589,0.0020370317292788265,0.0,0.0,0.0,0.0,1.7271547876340776e-06
KNN,0.005376994997985385,0.0004891442455450257,0.00048413590003359985,0.0,0.09742166564775911,0.0066630548020794045,0.4810094337386257,0.0,0.0,0.0,0.0,6.230571614196379e-13
RandomForest,0.18164842415649218,1.1142096534300094e-06,1.0984370926170328e-06,0.09742166564775911,0.0,9.581406816838722e-06,0.035921943785830024,0.0,0.0,0.0,0.0,2.220446049250313e-16
DecisionTree,3.0121744352129554e-06,0.35328681767819203,0.3521223821598589,0.0066630548020794045,9.581406816838722e-06,0.0,0.05694555015874858,0.0,0.0,0.0,0.0,9.922021271258075e-07
XGBoost,0.0003392832308524163,0.0020556766145531924,0.0020370317292788265,0.4810094337386257,0.035921943785830024,0.05694555015874858,0.0,0.0,0.0,0.0,0.0,7.001843549403475e-11
XARIMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4429091274737973,0.0,7.45777473465381e-06,1.2614354005791029e-11
RNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4429091274737973,0.0,0.0,0.00031609575006008583,6.907363570007874e-11
MLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.45777473465381e-06,0.00031609575006008583,0.0,0.0,0.0
CNN,0.0,1.7063300705721929e-06,1.7271547876340776e-06,6.230571614196379e-13,2.220446049250313e-16,9.922021271258075e-07,7.001843549403475e-11,1.2614354005791029e-11,6.907363570007874e-11,0.0,0.0,0.0
