,SVR,Ridge,Lasso,KNN,RandomForest,DecisionTree,XGBoost,XARIMA,RNN,MLP,LSTM,CNN
SVR,0.0,6.926612616808825e-10,6.736735613799283e-10,0.008853086832387502,0.09069061428814318,0.00017362445383439784,0.030505097140399284,0.0,0.0,0.0,0.0,0.0
Ridge,6.926612616808825e-10,0.0,0.025788079580963075,0.04986585108386765,2.9836336017163845e-05,0.6137242555275213,0.0005284478607017196,0.0,3.455014052633487e-13,0.0,0.0,9.655675300224154e-05
Lasso,6.736735613799283e-10,0.025788079580963075,0.0,0.04957937454183092,2.9502991257590594e-05,0.6121352421241752,0.0005233768218968482,0.0,3.4772185131259903e-13,0.0,0.0,9.816909987026001e-05
KNN,0.008853086832387502,0.04986585108386765,0.04957937454183092,0.0,0.12237082094434304,0.09177063043648004,0.27284471590002735,0.0,0.0,0.0,0.0,1.0212701552880787e-05
RandomForest,0.09069061428814318,2.9836336017163845e-05,2.9502991257590594e-05,0.12237082094434304,0.0,0.001662157691438848,0.6414177620346051,0.0,0.0,0.0,0.0,1.5272227926743653e-12
DecisionTree,0.00017362445383439784,0.6137242555275213,0.6121352421241752,0.09177063043648004,0.001662157691438848,0.0,0.008528853160323813,1.709743457922741e-14,2.9531932455029164e-14,0.0,0.0,0.004636998098221046
XGBoost,0.030505097140399284,0.0005284478607017196,0.0005233768218968482,0.27284471590002735,0.6414177620346051,0.008528853160323813,0.0,0.0,0.0,0.0,0.0,2.7067477148534635e-09
XARIMA,0.0,0.0,0.0,0.0,0.0,1.709743457922741e-14,0.0,0.0,0.1422829561801442,0.0,5.403351280186541e-06,6.377121053446899e-13
RNN,0.0,3.455014052633487e-13,3.4772185131259903e-13,0.0,0.0,2.9531932455029164e-14,0.0,0.1422829561801442,0.0,1.538769112130467e-13,0.00022126586300919016,4.196372138665083e-10
MLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538769112130467e-13,0.0,6.661338147750939e-16,0.0
LSTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.403351280186541e-06,0.00022126586300919016,6.661338147750939e-16,0.0,0.0
CNN,0.0,9.655675300224154e-05,9.816909987026001e-05,1.0212701552880787e-05,1.5272227926743653e-12,0.004636998098221046,2.7067477148534635e-09,6.377121053446899e-13,4.196372138665083e-10,0.0,0.0,0.0
