Mes,Calamar,Achi,ElBanco,SaladoBlanco,PuertoBerrio,Barrancabermeja
1,515.8346380039247,353.48765822784884,545.3155524927193,101.38984677488041,318.74860377626896,202.87746536988627
2,352.40336059743987,311.66510076252723,470.7739397413286,108.642859001533,314.72968548383324,201.83779761894738
3,341.8743636564848,334.01899293286175,506.1301133843421,122.86187283976669,344.6523625804781,247.6015427964212
4,418.6738985313746,399.4233354011574,597.3824786324784,141.47756517381686,392.98874297634626,313.23789627863545
5,549.7869897959179,505.3508094879514,711.3201233450367,157.25667856365996,412.86002008959156,343.8544291557692
6,623.2408455392806,532.0501543209876,731.5797075996793,180.53204566944632,376.8916125737772,297.56436781593106
7,604.3076729259496,495.05647356143106,644.4487650959074,185.26018037801916,343.72326321100263,247.40136630528454
8,560.979826366899,488.20627592016604,590.2481427648579,157.4965289036511,321.73686359545746,225.1453942782529
9,568.6800517429193,485.87414727126804,617.6994440738268,128.6777660475608,331.0391999448276,252.69795986341632
10,628.1053797468352,532.0612772761469,703.5315960613633,126.78590850964171,379.95397223451846,318.1756464707712
11,698.7104096989964,556.7268659558263,786.0177805648457,128.40084506074834,413.9995462951366,349.4414414441892
12,691.025413424125,469.92807683044384,714.6784359827664,118.84845266988997,376.17123720680763,286.9946909577455
