Estación,Fecha,Valor real,Valor predicho
Calamar,1975-07-03,568.0,546.7739520010031
Calamar,1975-07-07,589.0,516.9093204106098
Calamar,1975-07-16,626.0,483.4088804769872
Calamar,1975-07-24,648.0,578.40799132181
Calamar,1975-07-27,655.0,584.9021908530785
Calamar,1975-08-01,652.0,651.6479228534121
Calamar,1975-08-08,645.0,669.9495471921641
Calamar,1975-08-09,645.0,648.8147393608174
Calamar,1975-08-22,640.0,602.5744907933394
Calamar,1975-08-23,640.0,646.5405836530197
Calamar,1975-08-24,645.0,633.2002106401007
Calamar,1975-08-31,668.0,613.3433331632633
Calamar,1975-09-01,671.0,627.4917362360748
Calamar,1975-09-10,698.0,688.5189177847947
Calamar,1975-09-16,717.0,701.6982746776243
Calamar,1975-09-25,739.0,692.0584618917314
Calamar,1975-09-26,743.0,695.3030859129137
Calamar,1975-09-27,746.0,702.1958389423452
Calamar,1975-09-30,751.0,724.8123774696845
Calamar,1975-10-02,755.0,735.6972240211085
Calamar,1975-10-09,773.0,738.3161363264793
Calamar,1975-10-10,776.0,748.4504893508499
Calamar,1975-10-20,805.0,738.1202882883667
Calamar,1975-10-26,816.0,790.2545932236061
Calamar,1975-11-03,832.0,796.4976600034279
Calamar,1975-11-05,836.0,804.528768176119
Calamar,1975-11-08,840.0,827.4305435649575
Calamar,1975-11-09,842.0,841.1046685060378
Calamar,1975-11-11,847.0,837.6249693330111
Calamar,1975-11-16,861.0,649.6902631952541
Calamar,1975-11-20,870.0,657.6905828194022
Calamar,1975-11-30,885.0,694.1725687418252
Calamar,1975-12-03,885.0,634.3134568893242
Calamar,1975-12-05,883.0,600.0304770008722
Calamar,1975-12-11,873.0,599.8628871969494
Calamar,1975-12-14,865.0,622.0158653866699
Calamar,1975-12-25,834.0,601.9880320593094
Calamar,1975-12-26,830.0,621.6719198090448
Calamar,1976-01-07,787.0,461.3331794334297
Calamar,1976-01-12,752.0,465.5149378076346
Calamar,1976-01-14,736.0,480.9127730074151
Calamar,1976-01-15,728.0,483.9372110045726
Calamar,1976-01-18,703.0,463.35549254959284
Calamar,1976-01-23,649.0,459.84707209886335
Calamar,1976-01-24,640.0,458.5715469599651
Calamar,1976-01-26,620.0,463.8860464171894
Calamar,1976-01-28,596.0,472.65497560696576
Calamar,1976-02-01,558.0,378.0155673088013
Calamar,1976-02-05,523.0,398.70995437555774
Calamar,1976-02-06,511.0,399.7192056585735
Calamar,1976-02-15,432.0,353.5671439892397
Calamar,1976-02-18,432.0,361.4368540179347
Calamar,1976-02-19,429.0,369.41586749070586
Calamar,1976-02-27,395.0,326.3249909664113
Calamar,1976-02-28,397.0,333.0041018023666
Calamar,1976-03-17,395.0,431.4806788907822
Calamar,1976-03-18,393.0,433.68745998867865
Calamar,1976-03-20,397.0,415.1548110497362
Calamar,1976-03-23,401.0,446.5688038658417
