Estacion,Serie,Mes,Mes_nombre,N,Min,Q1,Mediana,Media,Q3,Max
Calamar,Calamar,1,Ene,1520,143.81250000000182,391.0,529.0,515.8346380039247,647.0,906.0
Calamar,Calamar,2,Feb,1406,131.99999999999827,247.09375000000057,329.5,352.40336059743987,451.7343750000002,645.0
Calamar,Calamar,3,Mar,1506,112.0,237.25,324.5937500000014,341.87436365648483,423.00000000000006,659.0
Calamar,Calamar,4,Abr,1498,156.0,327.25,415.9687499999985,418.6738985313747,515.0,709.0
Calamar,Calamar,5,May,1519,284.0,477.00000000000006,548.0,549.7869897959179,618.0,868.0
Calamar,Calamar,6,Jun,1502,378.0624999999934,535.25,626.5,623.2408455392806,695.4218749999983,881.0
Calamar,Calamar,7,Jul,1571,315.0,501.0,607.0,604.3076729259496,716.9687500000014,871.0000000000001
Calamar,Calamar,8,Ago,1579,292.0,460.00000000000006,537.0,560.979826366899,663.9375000000003,876.9999999999999
Calamar,Calamar,9,Sep,1530,298.0,466.2187500000011,550.0,568.6800517429193,665.0,884.0
Calamar,Calamar,10,Oct,1580,316.0,545.7812499999989,620.0,628.1053797468352,710.0,921.0
Calamar,Calamar,11,Nov,1495,419.00000000000006,636.0,692.0,698.7104096989964,759.5,950.0
Calamar,Calamar,12,Dic,1542,228.00000000000003,606.0,708.0,691.025413424125,781.0,943.0
Achi,Achi,1,Ene,1185,151.0,262.0,356.0,353.48765822784884,420.81249999999454,654.1250000000039
Achi,Achi,2,Feb,918,50.0,227.25,305.9687500000002,311.66510076252723,392.75,654.0
Achi,Achi,3,Mar,1132,53.0,229.0,321.5,334.0189929328617,429.359375000007,658.6875000000031
Achi,Achi,4,Abr,1209,108.0,283.0,395.4374999999808,399.4233354011574,500.9374999999949,788.0
Achi,Achi,5,May,1328,221.0,412.75,490.0,505.35080948795144,581.9062500000032,822.0
Achi,Achi,6,Jun,1215,230.00000000000003,432.0,520.0,532.0501543209876,619.0937499999948,829.0000000000001
Achi,Achi,7,Jul,1286,225.0,397.25,487.0,495.05647356143106,585.0,818.0
Achi,Achi,8,Ago,1286,219.0,392.0,491.0,488.20627592016604,565.0,821.0000000000001
Achi,Achi,9,Sep,1246,228.00000000000003,399.0625000000023,479.0,485.87414727126804,563.0,778.0
Achi,Achi,10,Oct,1329,293.0,457.750000000013,527.0,532.0612772761469,588.0,819.9999999999999
Achi,Achi,11,Nov,1313,267.0,488.0,544.3750000000063,556.7268659558263,628.0,808.0
Achi,Achi,12,Dic,1384,198.0,382.0,456.812500000003,469.92807683044384,546.0,770.8125000000015
ElBanco,El Banco,1,Ene,1477,288.0,461.0,545.0,545.3155524927193,632.0,875.0
ElBanco,El Banco,2,Feb,1350,241.0,390.0,482.22816154970894,470.7739397413286,544.1763392857147,729.0
ElBanco,El Banco,3,Mar,1503,247.00000000000003,409.0,509.0,506.13011338434205,588.5,783.0
ElBanco,El Banco,4,Abr,1482,288.562500000007,514.1388888888889,609.0,597.3824786324784,679.0,917.0
ElBanco,El Banco,5,May,1519,434.0,645.0,711.0,711.3201233450367,779.0,957.0
ElBanco,El Banco,6,Jun,1499,460.00000000000006,647.0,741.0,731.5797075996793,808.0,923.0208333333334
ElBanco,El Banco,7,Jul,1544,426.0,567.0,636.4687500000002,644.4487650959074,710.5052083333334,912.0
ElBanco,El Banco,8,Ago,1548,395.0,517.0,570.0,590.2481427648579,652.0,889.0
ElBanco,El Banco,9,Sep,1499,333.0,525.1267361111111,609.0,617.6994440738267,701.0,907.0
ElBanco,El Banco,10,Oct,1581,437.0,624.5625000000044,710.0208333333334,703.5315960613633,773.5208333333334,922.9999999999962
ElBanco,El Banco,11,Nov,1495,523.0,729.0,798.0,786.0177805648457,851.2187499999957,957.0
ElBanco,El Banco,12,Dic,1481,376.0,625.0,722.0,714.6784359827666,808.0,945.0
SaladoBlanco,Salado Blanco,1,Ene,1547,39.125,75.8125,96.0,101.38984677488041,121.0,247.875
SaladoBlanco,Salado Blanco,2,Feb,1409,39.0,76.625,100.0,108.642859001533,133.0,283.375
SaladoBlanco,Salado Blanco,3,Mar,1543,53.0,92.0,117.0,122.86187283976669,146.04166665,368.0
SaladoBlanco,Salado Blanco,4,Abr,1496,47.25,112.0,136.0,141.47756517381686,165.0,370.0
SaladoBlanco,Salado Blanco,5,May,1541,70.0,124.0,148.0,157.25667856365996,180.6458333,432.0
SaladoBlanco,Salado Blanco,6,Jun,1499,78.0,140.0,170.0,180.53204566944632,208.0625,510.0
SaladoBlanco,Salado Blanco,7,Jul,1565,80.0,144.4322917,174.0,185.2601803780192,213.0,467.0
SaladoBlanco,Salado Blanco,8,Ago,1542,66.0,124.0,149.0,157.4965289036511,181.90625,379.0
SaladoBlanco,Salado Blanco,9,Sep,1480,49.35416667,102.901041675,121.98958335,128.6777660475608,146.0,349.0
SaladoBlanco,Salado Blanco,10,Oct,1563,45.60416667,103.0,120.0,126.78590850964171,145.0,333.0
SaladoBlanco,Salado Blanco,11,Nov,1510,51.27083333,105.0,124.0,128.40084506074837,146.0,303.0
SaladoBlanco,Salado Blanco,12,Dic,1545,51.0,95.39583333,114.0,118.84845266988997,138.0,265.0
PuertoBerrio,Puerto Berrío,1,Ene,1517,174.9166667,281.1815203,316.0,318.74860377626896,355.0,521.875
PuertoBerrio,Puerto Berrío,2,Feb,1367,172.4583333,273.0,309.0,314.72968548383324,351.0,561.0
PuertoBerrio,Puerto Berrío,3,Mar,1506,180.0,289.0,338.0,344.6523625804781,394.0,567.0
PuertoBerrio,Puerto Berrío,4,Abr,1467,250.0,345.0,388.6666667,392.98874297634626,439.0,583.0
PuertoBerrio,Puerto Berrío,5,May,1518,268.0,365.0,411.0,412.8600200895916,456.0,586.0
PuertoBerrio,Puerto Berrío,6,Jun,1472,232.0,341.0,372.0,376.8916125737772,411.0,553.0
PuertoBerrio,Puerto Berrío,7,Jul,1536,210.0,309.0,339.0,343.72326321100263,374.083333325,520.0
PuertoBerrio,Puerto Berrío,8,Ago,1563,200.0,291.0,315.0,321.73686359545746,348.0,505.5
PuertoBerrio,Puerto Berrío,9,Sep,1508,184.0,296.5625,327.0,331.0391999448276,366.0,510.0
PuertoBerrio,Puerto Berrío,10,Oct,1547,215.0,338.04166665,381.0,379.95397223451846,420.1095014,579.0
PuertoBerrio,Puerto Berrío,11,Nov,1501,261.0,371.0,414.6154108,413.9995462951366,456.0,607.0
PuertoBerrio,Puerto Berrío,12,Dic,1513,189.0,332.0,373.0,376.17123720680763,416.0,580.0
